,ISO,Country_x,Infection Rate %,Mortality Rate %,Total Cases,Total Deaths,GDP per Capita,Population Density,Continent,Country_y,Most Recent Gini Index,Proportion of Internet Users in the Population in 2017
0,ABW,Aruba,3.6846936290579397,0.6609049313675649,3934.0,26.0,35973.781,584.8,North America,,,0.9717
1,AFG,Afghanistan,0.10083656018118009,3.714271157079533,39254.0,1458.0,1803.987,54.422,Asia,,,0.1144768809
2,AGO,Angola,0.01492411611808192,3.6493374108053005,4905.0,179.0,5819.495,23.89,Africa,Angola,51.3,0.14339079359999998
3,ALB,Albania,0.469733824449232,2.840656901908566,13518.0,384.0,11803.431,104.87100000000001,Europe,Albania,33.2,0.718470405
4,ARE,United Arab Emirates,0.9412157243387528,0.44687936405628964,93090.0,416.0,67293.483,112.44200000000001,Asia,,,0.9481992253999999
5,ARG,Argentina,1.6297894380707296,2.2426133185626855,736596.0,16519.0,18933.907,16.177,South America,Argentina,41.4,0.7429490687000001
6,ARM,Armenia,1.6840047056695489,1.9198012063886494,49901.0,958.0,8787.58,102.931,Asia,Armenia,34.4,0.6474488433000001
7,ATG,Antigua and Barbuda,0.10313699861122458,2.9702970297029703,101.0,3.0,21490.943,231.845,North America,,,
8,AUS,Australia,0.10612990703760539,3.2590621882274693,27063.0,882.0,44648.71,3.202,Oceania,,,0.8654504885000001
9,AUT,Austria,0.49528113341623736,1.7844732889456811,44607.0,796.0,45436.685999999994,106.749,Europe,Austria,29.7,0.8793558659
10,AZE,Azerbaijan,0.3956830807240235,1.4706248909494255,40119.0,590.0,15847.419,119.309,Asia,,,0.79
11,BDI,Burundi,0.004255397521828045,0.1976284584980237,506.0,1.0,702.225,423.06199999999995,Africa,,,0.02660748535
12,BEL,Belgium,1.055591488104524,8.18626930087707,122339.0,10015.0,42658.575999999994,375.564,Europe,Belgium,27.4,0.8767968082
13,BEN,Benin,0.019301837683423136,1.7094017094017095,2340.0,40.0,2064.236,99.11,Africa,Benin,47.8,0.1411901233
14,BFA,Burkina Faso,0.009720963381915507,2.8543307086614176,2032.0,58.0,1703.102,70.15100000000001,Africa,,,0.15876206910000001
15,BGD,Bangladesh,0.21983384320530241,1.4415414743552561,362043.0,5219.0,3523.9840000000004,1265.036,Asia,Bangladesh,32.4,
16,BGR,Bulgaria,0.2957064494286132,3.961648902516182,20547.0,814.0,18563.307,65.18,Europe,Bulgaria,40.4,0.6341010138000001
17,BHR,Bahrain,4.138616805645096,0.3493226548521769,70422.0,246.0,43290.705,1935.9070000000002,Asia,,,0.9587813574999999
18,BHS,Bahamas,0.9925034583774106,2.3315398411478347,3903.0,91.0,27717.847,39.497,North America,,,0.85
19,BIH,Bosnia and Herzegovina,0.8297328560129115,3.0710454779222687,27222.0,836.0,11713.895,68.49600000000001,Europe,,,0.6489202050999999
20,BLR,Belarus,0.8282076564019785,1.0580117556861743,78260.0,828.0,17167.967,46.858000000000004,Europe,Belarus,25.2,0.7443644541000001
21,BLZ,Belize,0.4886562832445972,1.3381369016984046,1943.0,26.0,7824.361999999999,16.426,North America,,,0.47082625799999994
22,BMU,Bermuda,0.290655661362067,4.972375690607735,181.0,9.0,50669.315,1308.82,North America,,,0.9837
23,BOL,Bolivia,1.153436695822481,5.890479125972029,134641.0,7931.0,6885.829000000001,10.202,South America,Bolivia,42.2,0.4383227607
