New Caledonia,NCL,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.0058408
Niger,NER,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.22431156
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.469439317
Nicaragua,NIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,27.86304001
Netherlands,NLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.19727891
Norway,NOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.3576013
Nepal,NPL,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.40351043
Nauru,NRU,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.38512451
New Zealand,NZL,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.81109307
OECD members,OED,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.50066485
Oman,OMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.18563573
Other small states,OSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,49.95549723
Pakistan,PAK,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.10514586
Panama,PAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.9506309
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,50.45041218
Philippines,PHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,60.05476033
Palau,PLW,Individuals using the Internet (% of population),IT.NET.USER.ZS,
Papua New Guinea,PNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.20919659
Poland,POL,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.98536595
Pre-demographic dividend,PRE,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.16931158
Puerto Rico,PRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.74077314
"Korea, Dem. People’s Rep.",PRK,Individuals using the Internet (% of population),IT.NET.USER.ZS,
Portugal,PRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.79121395
Paraguay,PRY,Individuals using the Internet (% of population),IT.NET.USER.ZS,61.07575622
West Bank and Gaza,PSE,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.2
Pacific island small states,PSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,32.72766762
Post-demographic dividend,PST,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.42391422
French Polynesia,PYF,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.70389531
Qatar,QAT,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.38884917
Romania,ROU,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.74728218
Russian Federation,RUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.00813853
Rwanda,RWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.76763262
South Asia,SAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,29.50303955
Saudi Arabia,SAU,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.17559961
Sudan,SDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.87029573
