Data Source,World Development Indicators,,,
,,,,
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7683.750611
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11611.41545
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8847.43187
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,779.8189412
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3853.083693
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2176.558227
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,5080.365496
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1157.535164
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,10000.48201
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19455.45413
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,114704.5942
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17836.36489
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,84096.39631
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3204.095003
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,4498.52085
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,522.2198092
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10790.50024
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8104.501888
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9863.072699
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,5575.440915
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6093.14769
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,890.7372855
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,29416.23061
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1407.813143
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,8832.036836
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,4295.235025
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,491.8047231
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,1677.919253
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11203.54058
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,411.5523404
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11414.83766
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,63181.79576
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4957.458006
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,554.6009687
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2229.858696
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1912.903745
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,52447.83144
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,75419.63487
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1071.050761
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,9396.981967
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,42084.35337
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,39399.04923
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,15474.03248
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13981.58378
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1284.702041
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,15731.01603
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6977.695784
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3485.084218
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2845.180186
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15595.22703
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1472.385402
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,32873.71927
"Korea, Dem. People’s Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23145.04082
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5414.799138
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4192.973761
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,45530.24815
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,64781.7332
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12919.52964
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11584.99538
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,801.656187
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1959.917165
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23139.79866
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,441.5056034
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1446.830965
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,65233.28244
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2127.538508
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,504.4625434
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4187.250031
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7402.354559
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1573.013688
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1585.436468
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,12730.94449
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1994.906467
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6854.906561
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19329.0968
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,25739.24781
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51610.06606
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3837.026994
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,17401.72151
